show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s11,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",Canada,04-Apr-21,2016,,88 min,"Adventure, Kids",Amanda stumbles upon a hidden village of fairies in the forest. They help her thwart a scheming land developer's plan to trick her mother into selling the family inn.
s12,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",United States,10-Apr-21,2014,,93 min,Comedy,"When a car crash leaves Frannie immobilized, she is brushed off by everyone she can count on. With nowhere else to turn, Frannie reluctantly calls her ex, Devon, for help. It isn't long before old wounds emerge and are made worse when Devon's crazy new girlfriend shows up."
s13,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",France,17-Apr-21,2018,,94 min,"Horror, Suspense","After waking up in an apartment the night after a raging party, Sam comes face to face with his new reality, an army of zombies have invaded the streets of Paris and he is the lone survivor. Petrified with fear, he barricades himself inside the building to survive. He wonders how long can he last in silence and solitude, and the answer comes when he learns that he's not all alone after all."
s14,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",Spain,24-Apr-21,2020,,46 min,"Documentary, Sports","The documentary follows the midfielder’s everyday life for six months. It’s a sincere portrayal by Rafinha himself, who opened his home for the cameras to film every moment, even allowing them into the operating room."
s15,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",United Kingdom,02-May-21,2018,,74 min,Documentary,"Discover the meteoric rise of Elon Musk, the man who is transforming the way we think about travel technology through electric cars, the Hyperloop, and revolutionary ideas on how we live through artificial intelligence and colonizing Mars."
s16,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise DuQuette",United States,03-Jun-21,2019,,96 min,"Comedy, Drama","Summer '03 is the hilarious story of 16-year-old Jamie and her family, who are shocked after her calculating grandmother unveils an array of family secrets on her deathbed, one involving religion, the other of a more personal nature. Jamie is left to navigate her own love life and her closest friendships in the midst of this family crisis, and one of the most memorable summers of her life."
s17,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",,,2016,13+,87 min,"Horror, Science Fiction","When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city."
s18,TV Show,Zoo Babies,,Narrator - Gillian Barlett,,,2008,ALL,1 Season,"Kids, Special Interest","A heart warming and inspiring series that welcomes the arrival of new members of the animal kingdom in Zoo's around the world, as well as showcasing endangered species being born in captivity, 'Zoo Babies' is perfect family viewing packaged with fun, colourful graphics designed to capture the attention of little ones."
s19,TV Show,Zoë Coombs Marr: Bossy Bottom,,Zoë Coombs Marr,,,2020,18+,1 Season,"Comedy, Talk Show and Variety","Zoë Coombs Marr has been on hiatus. Sort of. For six years, she won stacks of awards and acclaim as a hack comic with a neckbeard called Dave. Whatever. She’s scraped off the neckbeard and is BAAAACK… as herself. There is no comedian quite like Zoë. Bossy Bottom is a joyously silly return to very serious stand up from the MICF Most Outstanding Show winner and Edinburgh Best Show nominee."
s20,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",,,2018,R,104 min,Science Fiction,"ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love."
s21,TV Show,Zoboomafoo,,,,,2001,TV-Y,1 Season,Kids,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.
s22,TV Show,Zo Zo Zombie: Mini-Series,,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",,,2020,TV-Y7,1 Season,"Action, Anime, Comedy","Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally."
s23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",,,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama","""Hey, kids, let's get together and put on a show!"" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son."
s24,TV Show,ZeroZeroZero,,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,,2020,18+,1 Season,TV Shows,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean."
s25,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",,,1991,R,94 min,Drama,"Zandalee has grown bored with her poet-turned-businessman husband and has an affair with his best friend. When their passions grow wild, it proves to be too hot for any of them to handle."
s26,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,,,,2005,ALL,50 min,Documentary,"The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!"
s27,TV Show,Zahara: The Return,,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",,,2020,16+,1 Season,TV Shows,"The story explores the history of slavery and racism, and the tensions between a white supernatural world and a supernatural world of colour as an ancient black Druid rekindles her forbidden love with the son of her former master."
s28,TV Show,Z: The Beginning of Everything,,"Christina Ricci  , David Hoflin",United States,,2017,18+,1 Season,"Comedy, Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age."
s29,TV Show,Yu-Gi-Oh! Zexal,,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",,,2015,TV-Y7,3 Seasons,"Animation, Anime, Fantasy","It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!"
s30,TV Show,Yu-Gi-Oh! ARC-V,,"Michael Liscio Jr., Emily Bauer",,,2018,TV-Y7,3 Seasons,"Action, Adventure, Animation",Get set to swing into action as Yu-Gi-Oh! ARC-V takes its final bow!
s31,TV Show,Yu-Gi-Oh! 5D's,,"Gregory Abbey, Bella Hudson, Ed Paul",,,2011,TV-Y7,2 Seasons,"Anime, Kids","With the defeat of Director Goodwin and the Dark Signers, New Domino City's barriers have been torn down. City and Satellite are now one - united in the hope of building a brighter tomorrow. Yet in this time of renaissance and rebuilding, a new enemy emerges, and Yusei and his friends must rev it up in order to save the world – one duel at a time."
s32,TV Show,Your Bleeped Up Brain,,"Dobrokhotova Ekaterina, Mike New",,,2013,TV-PG,1 Season,TV Shows,"See what an alien abduction reveals about your memory, learn how a seance in the White House holds the key to superstition, uncover a conspiracy theory about the moon landing."
s33,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",,,1949,18+,86 min,Drama,"Talented and beautiful Carol Williams (Forrest) is devastated when she learns she has contracted Polio and becomes crippled by the disease. The depressed and embittered young woman breaks her engagement to her dance partner and choreographer, Guy Richards (Brasselle), but he is determined to stay by her side. Preferring to be alone in her misery, Carol slowly learns to allow others to help her and share in her grief. She is finally able to bring herself to participate in and go on with her new life."
s34,Movie,Young Love (at the Sun Factory),,,,,2007,NR,36 min,Music Videos and Concerts,"Young Love celebrates the release of ""Too Young To Fight It"" with a midnight show inside an old factory building."
s35,Movie,Young Love (at Bowery Ballroom),,,,,2007,NR,37 min,Music Videos and Concerts,"Young Love returns to Baeble's silver screen with a bigger stage, expanded setlist, nicer clothes, and the same blend of rock, dance, and pop."
s36,TV Show,Young Lions,,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",,,2002,16+,1 Season,"Drama, Suspense",Australian police show about two male and two female detective senior constables who solve crimes and deal with personal issues.
s37,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",,,2015,R,103 min,Drama,A drama centered on a classical pianist who has been diagnosed with ALS and the brash college student who becomes her caregiver.
s38,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",,,2017,,98 min,"Comedy, Drama","In You, Me and Him we meet lesbian couple Olivia and Alex (Lucy Punch, Faye Marsay) who, despite their age difference, are very much in love. But as the question of pregnancy rears its head and their neighbor John (David Tennant) befriends them, they both start making some truly disastrous decisions."
s39,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,,,2016,ALL,9 min,"Fitness, Special Interest","This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!"""
s40,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,,,2014,ALL,18 min,"Faith and Spirituality, Special Interest","Sharecare Windows presents Caroline Shola Arewa who describes the positions, meaning and qualities of energy, as well as the seven main chakras, gently leading you into a guided chakra meditation. Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health, emotional stability and spiritual awareness."
s41,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,,,2016,ALL,14 min,"Fitness, Special Interest",Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective.
s42,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,,,2014,ALL,20 min,Special Interest,"This session with Dr Daniel J Nightingale is helpful for anyone whose quality of life is diminished by habitual and addictive behavior. Discover techniques that can help you break your habit, allowing you to become in control of IT, rather than IT being in control of you. This session will prove to be beneficial to you any time you wish to listen to it-day or night."
s43,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",,Lindsey Samper,,,2018,ALL,1 Season,Fitness,Lindsey teaches you how to relieve pain & tension throughout the body. This series includes Yoga Flow Classes and videos that simply teach you the stretches. These gentle classes are perfect even if you've never done yoga.
s44,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,,,2014,ALL,19 min,"Fitness, Special Interest",Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted.
s45,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,,,2014,ALL,18 min,"Fitness, Special Interest","Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted."
s46,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,,,2014,ALL,20 min,"Fitness, Special Interest","This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm."
s47,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,,,2014,ALL,20 min,Special Interest,"Relax and reduce your stress while you lay down in a comfortable position to listen to this session. It is a scientific fact that an overload of stress at home or work will eventually affect the body, the mind and its health. A daily dose of relaxation for the Mind and the body will help stress levels to lower by using the breath to regulate the heartbeat."
s48,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,,,2016,ALL,22 min,"Fitness, Special Interest","We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala."
s49,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,,,2016,ALL,60 min,"Fitness, Special Interest","This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga"
s50,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,,,2016,ALL,6 min,"Fitness, Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
s51,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,,,2016,ALL,54 min,"Fitness, Special Interest","This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala."
s52,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,,,2019,ALL,5 min,Special Interest,"This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. Practice this for at least 5 minutes. If you did this each day you would notice stress levels dropping, sleep improve and your ability to focus as well as feeling a lot calmer!. Accompanying video Iao Valley on Maui."
s53,Movie,Yellowneck,R. John Hugh,"Lin McCarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",,,1955,18+,84 min,"Action, Military and War, Western","During the U.S. Civil War, five deserters (yellownecks) from the Confederate army decide to embark on a dangerous mission through the Florida everglades to escape to Cuba. They have to survive snakes, a Florida panther, quicksand, and a hurricane in the swamps, along with local angry indians. Only one of the men will survive to make it to the Florida coast, but which one? The hurricane scenes involve footage form a real hurricane that hit Florida during the shooting of the film."
s54,TV Show,Yearly Departed,,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",,,2020,16+,1 Season,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety","Goodbye and good riddance, 2020. In this hilarious, absurd, life-affirming comedy special, seven outspoken female comedians lay to rest the year that never seemed to end. Hosted by Phoebe Robinson (2 Dope Queens), a lineup of some of the world's funniest women bid farewell to 2020's biggest conceptual casualties, from TV Cops to Casual Sex, giving the year a cathartic sendoff."
s55,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,2019,ALL,126 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.
s56,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",,,2019,ALL,125 min,"Drama, International",An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy.
s57,TV Show,Yancy Derringer,,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",,,1959,13+,1 Season,"Action, Western","Yancy Derringer, an ex-Confederate soldier turned gambler, was a suave lady's man in New Orleans, Louisiana. In reality, he was working for John Colton, the civil administrator of the city. Yancy's job was to prevent crime and if necessary, arrest the culprits. His constant companion was Pahoo-Ka-Ta-Wah a Native American who watches Yancy's back."
s58,TV Show,Xploration Earth 2050,,Chuck Pell,,,2017,ALL,2 Seasons,"Documentary, Science Fiction","What will the world look like in 2050? Where will advancements in science, technology, engineering, and math lead us? Host Chuck Pell takes viewers on a mind bending journey in search of these answers."
s59,TV Show,Xiaolin Chronicles,,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer",,,2015,7+,1 Season,"Adventure, Animation, Kids","Newcomer Ping Pong joins the legendary Xiaolin Monks: Omi, Kimiko, Raimundo, and Clay for fantastical new adventures! Leading the dark forces is Heylin Dragon Chase, who vows to revenge against Xiaolin. Throwing a monkey's wrench into the mix is supervillain wannabe Jack Spicer. Under the tutelage of an evil witch, Jack and his robot army are gunning for the Shen Gong Wu for world domination."
s60,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle MacLachlan, Tom Rack",,,2001,R,109 min,"Fantasy, Science Fiction, Suspense",A man learns the danger of a new technology that allows people to transport their minds into a waiting body at their chosen destination when his body is taken over by a terrorist.
s61,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",,,1983,R,89 min,Suspense,"A psychotic killer keeps a young girl trapped inside a hospital, having fixed her x-rays to make it look like she has a terminal illness, and brutally murders everyone she comes in contact with."
s62,TV Show,WWII in HD,,"Gary Sinise, Charles Scheffel",,,2009,TV-14,1 Season,Action,"The only people to see the war like this were the ones who fought it. Until now...70+ years in the making. The first documentary to show World War II from the perspective of both sides in full, immersive HD color, WWII in HD uses the diaries of soldiers who fought in the war's biggest battles to create a personal, introspective and detailed look at life on and off the front lines."
s63,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",,,2008,18+,85 min,"Documentary, LGBTQ","From the dawn of the sexual revolution comes the outrageous and true story of 1970s gay porn icon Jack Wrangler. Jack rose to become a major brand name in adult entertainment, as well as a hero to the newly liberated gay population, only to cross over to straight movies and fall in love with famous vocalist Margaret Whiting."
s64,TV Show,WPC 56,,"WPC Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",,,2015,13+,3 Seasons,"Drama, Romance, Suspense","The third series of WPC 56 follows WPC Annie Taylor, one of the first female police constables to serve in England's West Midlands in 1956."
s65,TV Show,Would I Lie to You?,,"David Mitchell, Lee Mack, Rob Brydon",,,2009,TV-PG,1 Season,"Comedy, Special Interest, Unscripted","On the third season of 'Would I Lie to You?' there is a new host, Rob Brydon, who joins regular team captains David Mitchell and Lee Mack David Mitchell. Together, they have to work out whether their celebrity guests are telling true stories from their weird and wonderful lives, or spinning a tall tale based on a lie given to them by the production team."
s66,TV Show,Wotakoi: Love is Hard for Otaku,,"Arisa Date, Kent Ito, Miyuki Sawashiro, Tomokazu Sugita, Yuki Kaji",,,2018,TV-NR,1 Season,TV Shows,"When Narumi, an office lady who hides the fact that she is a yaoi fangirl, changes jobs, she is reunited with Hirotaka, her childhood friend who is attractive and skilled but is a hardcore gaming otaku. They decide to start dating for now, but being otaku, both of them are awkward so a serious romantic relationship is rather difficult for them..."
s67,TV Show,World’s Toughest Race: Eco-Challenge Fiji,,Bear Grylls,United States,,2020,13+,1 Season,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race."
s68,TV Show,World War II: When Lions Roared,,"Michael Caine, John Lithgow, Bob Hoskins",,,1994,TV-14,1 Season,Drama,"At the Tehran and Yalta Conferences, the strong personalities of three of the world's most powerful leaders threaten their fragile alliance. This riveting historical drama portrays the precarious relationship between Franklin D. Roosevelt, Winston Churchill and Joseph Stalin at the pivotal moments when the final strategies of the war hung in the balance."
s69,Movie,World War II: Saving the Reality,Tim Gray,Dan Aykroyd,,,2012,,56 min,Documentary,"Over the course of five decades, Kenneth W. Rendell amassed the largest and most comprehensive private collection of original World War II memorabilia in the world. Narrated by Dan Aykroyd, World War II: Saving the Reality opens the doors to this private museum. Rendell provides a guided tour of the museum's 30 exhibits."
s70,TV Show,World War 2 - The Call of Duty: A Complete Timeline,,Liam Dale,,,2020,13+,1 Season,"Documentary, Military and War","Track the main events of World War II with the help of remarkable archive footage and see exactly what happened, and when. Learn about Pearl Harbor, The Battle of Britain, D-Day, the dropping of the atomic bomb and more. From the early battles right through to the complexities of the endgame, this extensive 24 episode series shines a spotlight on a period of history that should never be forgotten."
s71,Movie,World Inferno Friendship Society,Baeble Music,,,,2007,NR,40 min,Music Videos and Concerts,The circus comes to town with this performance at the traveling Spiegeltent from Wolrd Inferno Friendship Society.
s72,TV Show,World Food Championships,,Tiffany Derry,,,2014,TV-PG,1 Season,TV Shows,World Food Championships invites the champions from the biggest and best food competitions around the world into a single high-stakes culinary showdown for hundreds of thousands of dollars.
s73,TV Show,WordWorld,,,,,2007,TV-G,1 Season,Kids,The loveable WordFriends take children on adventures in a world of words where they encounter all sorts of situations that can only be solved by building a word!
s74,Movie,Words On Bathroom Walls,Thor Freudenthal,"Charlie Plummer, Taylor Russell, Andy Garcia, AnnaSophia Robb, Beth Grant, Devin Bostick, Lobo Sebastian, Molly Parker, Walton Goggins",,,2020,PG-13,111 min,Drama,"Diagnosed with a mental illness, a witty, introspective teen falls in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition."
s75,TV Show,WordGirl,,,,,2010,TV-G,1 Season,Kids,WordGirl and her sidekick Captain Huggy Face take down quirky villains in every action-packed episode.
s76,TV Show,Wonders of Mexico,,Anthony Mendez,,,2018,TV-G,1 Season,"Documentary, Special Interest","Mexico is rich in culture and ablaze with color. Discover the hidden underworlds, diversity of life, and a mosaic of vast landscapes that create a festival of life. Includes: Forests of the Maya, Mountain Worlds, and Burning North."
s77,Movie,Wonderful Nursery Rhymes with Mia - Little Baby Bum,Cannis Holder,,,,2019,ALL,33 min,Kids,LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!
s78,Movie,Wonderful Nursery Rhymes with Jacus - By Little Baby Bum,Cannis Holder,,,,2019,ALL,34 min,Kids,Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!
